Area,Size_class,EstTotalAcres,Protected_Acres,HumanOrLightning,FO_LandOwnType,County,RegUseRestriction,Industrial_Restriction,DistrictCode,Month_ReportDate
NOA,A,0.1,0.1,Human,Other Private,Lincoln,Reg Use Closure,Lvl 3 Restricted Shutdown,55,9
EOA,C,95.7,95.7,Human,BLM,Grant,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,97,7
SOA,A,0.01,0.01,Human,Rural Residential,Josephine,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,10
SOA,A,0.02,0.02,Human,Other Private,Coos,Reg Use Closure,Lvl 1 Fire Season Only,72,8
SOA,A,0.01,0.01,Lightning,Industrial,Coos,Reg Use Closure,Lvl 3 Restricted Shutdown,72,8
SOA,A,0.01,0.01,Human,County,Lane,Reg Use Closure,Lvl 2 Limited Shutdown,78,7
SOA,A,0.1,0.1,Human,Rural Residential,Josephine,Outside Closed Fire Season,Outside Closed Fire Season,71,5
EOA,B,0.49,0.49,Lightning,Industrial,Grant,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,95,6
SOA,A,0.01,0.01,Human,Industrial,Douglas,Outside Closed Fire Season,Outside Closed Fire Season,73,4
NOA,B,5,5,Human,Rural Residential,Marion,Reg Use Closure,Lvl 3 Restricted Shutdown,58,9
SOA,B,0.58,0.58,Human,Other Private,Josephine,Reg Use Closure,Lvl 2 Limited Shutdown,71,7
SOA,A,0.1,0,Human,County,Jackson,Reg Use Closure,Lvl 1 Fire Season Only,71,6
NOA,C,79,79,Human,Small Woodlands,Marion,Reg Use Closure,Lvl 2 Limited Shutdown,58,7
SOA,B,1,1,Human,State,Josephine,Outside Closed Fire Season,Outside Closed Fire Season,71,5
EOA,B,3,1.5,Lightning,USFS,Baker,Reg Use Closure,Does Not Apply - Eastern OR,97,7
EOA,C,30.7,10.5,Lightning,Other Private,Wallowa,Reg Use Closure,Does Not Apply - Eastern OR,97,8
NOA,B,0.5,0.5,Human,Industrial,Clackamas,Outside Closed Fire Season,Outside Closed Fire Season,58,5
SOA,A,0.1,0.1,Human,Rural Residential,Josephine,Reg Use Closure,Lvl 2 Limited Shutdown,71,9
SOA,C,18,18,Human,Industrial,Lane,Reg Use Closure,Lvl 3 Restricted Shutdown,77,9
EOA,A,0.1,0.1,Lightning,Industrial,Grant,Reg Use Closure,Does Not Apply - Eastern OR,95,8
EOA,A,0.25,0.25,Human,Rural Residential,Umatilla,Outside Closed Fire Season,Does Not Apply - Eastern OR,97,5
SOA,A,0.25,0.25,Human,Other Private,Lane,Outside Closed Fire Season,Outside Closed Fire Season,78,6
SOA,A,0.1,0.1,Lightning,BLM,Jackson,Reg Use Closure,Lvl 2 Limited Shutdown,71,7
EOA,A,0.1,0.1,Lightning,Industrial,Union,Reg Use Closure,Does Not Apply - Eastern OR,97,8
SOA,A,0.1,0.1,Human,BLM,Jackson,Absolute Closure,Lvl 2 Limited Shutdown,71,8
SOA,A,0.01,0.01,Human,Rural Residential,Josephine,Reg Use Closure,Lvl 1 Fire Season Only,71,6
EOA,B,0.5,0.5,Human,Industrial,Deschutes,Outside Closed Fire Season,Lvl 3 Restricted Shutdown,95,6
EOA,A,0.2,0.2,Human,State,Umatilla,Reg Use Closure,Does Not Apply - Eastern OR,97,8
EOA,C,17.8,17.8,Lightning,Agriculture,Grant,Reg Use Closure,Does Not Apply - Eastern OR,95,6
SOA,A,0.01,0.01,Human,State,Jackson,Reg Use Closure,Lvl 2 Limited Shutdown,71,8
SOA,A,0.01,0.01,Human,Small Woodlands,Jackson,Reg Use Closure,Lvl 1 Fire Season Only,71,7
SOA,A,0.01,0.01,Lightning,BLM,Jackson,Outside Closed Fire Season,Outside Closed Fire Season,71,10
NOA,B,0.9,0.9,Human,State,Clatsop,Reg Use Closure,Lvl 2 Limited Shutdown,52,8
SOA,A,0.01,0.01,Human,Rural Residential,Douglas,Reg Use Closure,Lvl 1 Fire Season Only,73,10
EOA,D,275,116,Human,County,Harney,Reg Use Closure,Does Not Apply - Eastern OR,95,8
SOA,A,0.01,0.01,Human,Industrial,Douglas,Outside Closed Fire Season,Outside Closed Fire Season,73,12
EOA,B,1,1,Human,Other Private,Wallowa,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,97,7
EOA,A,0.1,0.1,Lightning,Industrial,Wallowa,Reg Use Closure,Does Not Apply - Eastern OR,97,9
NOA,D,140,140,Human,Industrial,Lincoln,Outside Closed Fire Season,Outside Closed Fire Season,55,10
NOA,A,0.01,0.01,Human,Ocean Shores,Tillamook,Reg Use Closure,Lvl 1 Fire Season Only,51,8
SOA,A,0.1,0.1,Human,Rural Residential,Jackson,Reg Use Closure,Lvl 2 Limited Shutdown,71,8
NOA,A,0.1,0.1,Human,State,Tillamook,Reg Use Closure,Lvl 2 Limited Shutdown,53,9
SOA,A,0.1,0.1,Human,Rural Residential,Coos,Reg Use Closure,Lvl 1 Fire Season Only,72,9
EOA,A,0.1,0.1,Lightning,Small Woodlands,Union,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,97,8
SOA,A,0.01,0.01,Human,Industrial,Douglas,Outside Closed Fire Season,Outside Closed Fire Season,73,5
EOA,A,0.1,0.1,Human,Other Public,Klamath,Outside Closed Fire Season,Does Not Apply - Eastern OR,98,5
NOA,A,0.1,0.1,Human,Other Private,Yamhill,Outside Closed Fire Season,Outside Closed Fire Season,53,4
EOA,A,0.01,0.01,Human,Rural Residential,Deschutes,Outside Closed Fire Season,Does Not Apply - Eastern OR,95,5
